"ID Number","Name","Version"
3118,"Egypt/Libya of 1980",2.1
3119,"Morocco/Mauritania air dispute",2.1
3120,"San Andres dispute",2.1
3122,"Argentina/USSR fishing boats",2.1
3123,"Argentina/Bulgaria fishing boats",2.1
3126,"Egypt/Libya clashes",2.1
3129,"Somalia/Kenya clash",2.1
3132,"Turkish invasion of Iran",2.1
3133,"Russia troops in Iran",2.1
3134,"French occupation of Cilicia",2.1
3135,"UK embargo of Rhodesia",2.1
3136,"UK response to seizure of the Steamer Alps",2.1
3138,"France and the Miguelite wars",2.1
3139,"France-Morocco of 1911",2.1
3181,"Austrian crisis of 1922",2.1
3182,"Hungarian reparations",2.1
3183,"Greek Patriarch",2.1
3185,"Mosul Dispute",2.1
3189,"Alexandretta I",2.1
3190,"Alexandretta II",2.1
3195,"Iranian oil nationalization",2.1
3217,"Spratly Islands dispute II",2.1
3232,"Alliancia",2.1
3238,"Amelia Island",2.1
3245,"Sino-Russian Protocol of Chuguchak",2.1
3247,"Occupation of Ili",2.1
3249,"Pamir dispute",2.1
3250,"Occupation of Manchuria",2.1
3254,"Mongolian Autonomy",2.1
3255,"Cele Village Incident",2.1
3256,"Kaxgar incident",2.1
3257,"Mongolian Independence",2.1
3258,"Occupation of Tangnuwulianghai",2.1
3259,"Annexation of Tangnuwulianghai",2.1
3264,"Yining Clash",2.1
3265,"Second Ili Rebellion",2.1
3266,"Changshan island",2.1
3301,"Alaska Boundary Dispute II",2.1
3321,"Murder of Czerney George of Russia",2.1
3326,"Insurrection in Milan",2.1
3349,"German U Boat attacks II",2.1
3352,"Dedeaghatch Railway Concessions",2.1
3360,"Kontum",2.1
3363,"Samoa",2.1
3445,"Lake Huleh",2.1
3542,"USSR seizure of Bessarabia",2.1
3626,"Border Fence",2.1
3628,"Second Sino-Vietnamese War",2.1
3630,"Falklands Islands War",2.1
3645,"Seven Demands on Manchuria",2.1
3704,"Seizure of the Altmark",2.1
3709,"Seizure of U.S. Mail",2.1
3710,"USS Washington",2.1
3724,"Coal Shipping Dispute",2.1
3832,"Seizure of the Graf Spree and Tacoma",2.1
3834,"Graf Spree",2.1
3956,"Iraqi Scud Attack on Israel",2.1
3957,"Persian Gulf War",2.1
3974,"Iraqi No-fly-zone Violations",2.1
